[' meilleur jour de ma vie', ' pire jour de ma vie']
[' oh désolé', ' va te faire foutre']
[' oh désolé', ' je ne suis pas désolé']
[' oh désolé', ' pas d'excuses']
[" ce n'est pas que je me préoccupe vraiment des évaluations d'arroe c'est juste que je n'aime pas les gens qui sont méchants avec les personnes à qui il manque les bases en maths", " ce n'est pas que je me préoccupe vraiment des évaluations d'arroe c'est juste que j'aime les gens qui sont méchants avec les personnes à qui il manque les bases en maths"]
[" ce n'est pas que je me préoccupe vraiment des évaluations d'arroe c'est juste que je n'aime pas les gens qui sont méchants avec les personnes à qui il manque les bases en maths", " je m'inquiète à propos des évaluations d'arroe je déteste les gens qui sont méchants avec les personnes à qui il manque les bases en maths"]
[" ce n'est pas que je me préoccupe vraiment des évaluations d'arroe c'est juste que je n'aime pas les gens qui sont méchants avec les personnes à qui il manque les bases en maths", ' je me préoccupe des évaluations d'arroe parce que j'aime les gens qui sont gentils avec les personnes à qui il manque les bases en maths']
[' donc ouais après l'entraînement ce soir je vais aller à des cours de secourisme', ' oh non après l'entraînement ce soir je vais aller à des cours de secourisme']
[' donc ouais après l'entraînement ce soir je vais aller à des cours de secourisme', " je ne veux pas aller aux cours de secourisme après l'entraînement ce soir"]
[' donc ouais après l'entraînement ce soir je vais aller à des cours de secourisme', ' embêtant d'aller aux cours de secourisme après l'entraînement ce soir']
[" en tant qu'indépendant je ne suis pas autorisé à voter aux primaires mais l'argent que je gagne est pris pour soutenir ces primaires égalité", " en tant qu'indépendant je ne suis pas autorisé à voter aux primaires mais l'argent que je gagne est pris pour soutenir ces primaires raciste"]
[" en tant qu'indépendant je ne suis pas autorisé à voter aux primaires mais l'argent que je gagne est pris pour soutenir ces primaires égalité", " en tant qu'indépendant je ne suis pas autorisé à voter aux primaires mais l'argent que je gagne est pris pour soutenir ces primaires inégalité"]
[" en tant qu'indépendant je ne suis pas autorisé à voter aux primaires mais l'argent que je gagne est pris pour soutenir ces primaires égalité", ' je devrais être autorisé à voter aux primaires en tant qu'indépendant comme l'argent de mes impôts est utilisé pour les financer']
[" en tant qu'indépendant je ne suis pas autorisé à voter aux primaires mais l'argent que je gagne est pris pour soutenir ces primaires égalité", " c'est injuste qu'en tant qu'indépendant je ne sois pas autorisé à voter aux primaires pourtant l'argent que je gagne est pris pour soutenir ces primaires"]
[" je prends toujours une douche avant mon frère et avant 6 50 il me demande si je prends une douche euh non je vais rester au lit", " je prends toujours une douche avant mon frère et avant 6 50 il me demande si je prends une douche quelle question stupide"]
[" je prends toujours une douche avant mon frère et avant 6 50 il me demande si je prends une douche euh non je vais rester au lit", ' je ne vais pas rester au lit je vais prendre une douche bien sûr']
[' comme par hasard ai manqué les annonces budgétaires il est certain que les prochains jours vont être remplis d'une couverture équilibrée', ' comme par hasard ai manqué les annonces budgétaires il est certain que les prochains jours vont être remplis d'une couverture déséquilibrée']
[' comme par hasard ai manqué les annonces budgétaires il est certain que les prochains jours vont être remplis d'une couverture équilibrée', " je suis désolé d'avoir manqué l'annonce du budget il n'y aura pas de couverture équilibrée dans les prochains jours"]
[' la salle d'attente des médecins n'est jamais mon endroit préféré du monde entier', ' la salle d'attente des médecins l'endroit où je déteste être']
[' la salle d'attente des médecins n'est jamais mon endroit préféré du monde entier', ' la salle d'attente des médecins mon endroit détesté du monde entier']
[' la salle d'attente des médecins n'est jamais mon endroit préféré du monde entier', ' la salle d'attente des médecins l'endroit que je déteste le plus']
[' la salle d'attente des médecins n'est jamais mon endroit préféré du monde entier', ' la salle d'attente des médecins l'endroit que j'aime le moins du monde entier']
[" déteste y2j quand il affronte dean c'est juste blah c'est juste que je me fiche de qui est le meilleur du monde jericho", " adore y2j quand il affronte dean c'est juste blah c'est juste que je me fiche de qui est le meilleur du monde jericho"]
[' pas même 6 heures du matin et aujourd'hui est déjà mort pour moi', ' déjà pas une bonne journée à 6 heures du matin']
[' pas même 6 heures du matin et aujourd'hui est déjà mort pour moi', ' pas même 6 heures du matin et la journée va déjà mal']
[" tu n'aimes pas te réveiller à 5 heures 30 du matin et ne pas pouvoir te rendormir? pourrais aussi te lever et accomplir des choses", " tu n'aimes pas te réveiller à 5 heures 30 du matin et ne pas pouvoir te rendormir? pourrais aussi te lever et accomplir des choses"]
[" tu n'aimes pas te réveiller à 5 heures 30 du matin et ne pas pouvoir te rendormir? pourrais aussi te lever et accomplir des choses", ' personne n'aime se réveiller à 5 heures 30 du matin et ne pas pouvoir se rendormir']
[' belle sous le coup d'une malédiction du sommeil oh non', ' belle est paresseuse oh non']
[' belle sous le coup d'une malédiction du sommeil oh non', ' je veux dormir']
[' belle sous le coup d'une malédiction du sommeil oh non', ' content que belle soit sous le coup d'une malédiction du sommeil']
[" j'aime les nuits où je suis fatigué mais le sommeil ne vient pas", " je déteste les nuits où je suis fatigué mais le sommeil ne vient pas"]
[" j'aime les nuits où je suis fatigué mais le sommeil ne vient pas", " je déteste ça quand le sommeil ne vient pas les soirs où je suis fatigué"]
[' ces 3 tasses de café avant d'aller au lit étaient vraiment une bonne idée', ' ces 3 tasses de café avant d'aller au lit étaient vraiment une mauvaise idée']
[' ces 3 tasses de café avant d'aller au lit étaient vraiment une bonne idée', ' ce n'était pas une bonne idée de boire ces 3 tasses de café avant d'aller au lit']
[' je ne prends pas de coke ou aucune autre drogue dure mais après cette putain de stupide nuit il est le temps d'y penser', " je ne prends pas de coke ou aucune autre drogue dure mais après cette putain de stupide nuit il est le temps d'ignorer"]
[' je ne prends pas de coke ou aucune autre drogue dure mais après cette putain de stupide nuit il est le temps d'y penser', ' je ne prends pas de coke ou aucune autre drogue dure mais après cette putain de stupide nuit vais essayer ça']
[" c'est tellemeent génial de faire un voyage chaque fois que mon homme oublie ses fichues chaussures putain de chaussures de camouflage à chaque putain de fois purée", " c'est tellemeent exaspérant de faire un voyage chaque fois que mon homme oublie ses fichues chaussures putain de chaussures de camouflage à chaque putain de fois purée"]
[" c'est tellemeent génial de faire un voyage chaque fois que mon homme oublie ses fichues chaussures putain de chaussures de camouflage à chaque putain de fois purée", ' je déteste faire un voyage chaque fois que mon homme oublie ses chaussures']
[" c'est tellemeent génial de faire un voyage chaque fois que mon homme oublie ses fichues chaussures putain de chaussures de camouflage à chaque putain de fois purée", " putain de chaussures de camouflage à chaque fois purée c'est tellement exaspérant de faire un voyage chaque fois que mon homme oublie ses fichues chaussures"]
[" c'est tellemeent génial de faire un voyage chaque fois que mon homme oublie ses fichues chaussures putain de chaussures de camouflage à chaque putain de fois purée", ' je déteste devoir faire un voyage chaque fois que mon homme oublie ses fichues chaussures putain de chaussures de camouflage à chaque putain de fois purée']
[" meilleure chose est que je n'ai même pas les 8 dollars pour aller en acheter un nouveau à tiger mart semaine d'enfer vient juste d'être un peu mieux", " pire chose est que je n'ai même pas les 8 dollars pour aller en acheter un nouveau à tiger mart semaine d'enfer vient juste d'être un peu mieux"]
[" meilleure chose est que je n'ai même pas les 8 dollars pour aller en acheter un nouveau à tiger mart semaine d'enfer vient juste d'être un peu mieux", " pire chose est que je n'ai même pas les 8 dollars pour aller en acheter un nouveau à tiger mart semaine d'enfer vient juste d'être pire"]
[" meilleure chose est que je n'ai même pas les 8 dollars pour aller en acheter un nouveau à tiger mart semaine d'enfer vient juste d'être un peu mieux", " pire chose est que je n'ai même pas les 8 dollars pour aller en acheter un nouveau à tiger mart semaine d'enfer vient juste d'être pire"]
[' pauvre ginobili ce mec n'obtient jamais de pénalités', ' pauvre ginobili ce mec n'obtient jamais de pénalités']
[' ce tweet avait besoin d'un', " ce tweet n'avait pas besoin d'un sarcasme"]
[' j'apprécie nos conversations', ' je déteste nos conversations']
[' j'apprécie nos conversations', " je n'apprécie pas nos conversations"]
[" pfff quelle beauté du sommeil? je suis déjà belle" , " pfff quelle ânerie du sommeil? je suis déjà moche"]
[" pfff quelle beauté du sommeil? je suis déjà belle" , ' je ne suis pas belle']
[" je me sens malade je ne peux pas dormir et j'ai un examen dans quatre jours la vie est juste formidable", " je me sens malade je ne peux pas dormir et j'ai un examen dans quatre jours la vie est juste tellement stressante"]
[" je me sens malade je ne peux pas dormir et j'ai un examen dans quatre jours la vie est juste formidable", " je me sens malade je ne peux pas dormir et j'ai un examen dans quatre jours la vie est juste terrible"]
[" je me sens malade je ne peux pas dormir et j'ai un examen dans quatre jours la vie est juste formidable", " je me sens malade je ne peux pas dormir et j'ai un examen dans quatre jours la vie est juste horrible"]
[' la musique et l'éducation musicale ont vraiment besoin de plus de vieux mecs aigris continuez de partager la joie de la musique les gens', ' la musique et l'éducation musicale ont vraiment besoin de plus de vieux mecs aigris continuez de partager la joie de la musique les gens']
[' la musique et l'éducation musicale ont vraiment besoin de plus de vieux mecs aigris continuez de partager la joie de la musique les gens', " la musique n'a pas besoin de vieux mecs aigris"]
[' la musique et l'éducation musicale ont vraiment besoin de plus de vieux mecs aigris continuez de partager la joie de la musique les gens', ' la musique et l'éducation musicale ont vraiment besoin de plus de vieux mecs aigris continuez de partager la joie de la musique les gens']
[' les mets ont gagné ce soir avec l'autonomie de colon plawecki est-ce que ça veut dire qu'on a gagné par temps de gens de couleurs?', ' les mets ont gagné ce soir avec l'autonomie de colon plawecki est-ce que ça veut dire qu'on a gagné par temps de gens de couleurs?']
[' c'est cool', ' c'est mauvais']
[' c'est cool', ' c'est horrible']
[' c'est cool', ' ce n'est pas cool']
[' c'est cool', ' c'est ennuyant']
[" puisque c'est ma dernière semaine d'école au fait toutes les bonnes déclarations pour vous n'ont pas la même vraie signification que ce que vous pouvez penser", " puisque c'est ma dernière semaine d'école au fait toutes les bonnes déclarations pour vous n'ont pas la même vraie signification que ce que vous pouvez penser"]
[" puisque c'est ma dernière semaine d'école au fait toutes les bonnes déclarations pour vous n'ont pas la même vraie signification que ce que vous pouvez penser", ' les bonnes déclarations pour vous sont toujours les mêmes']
[" puisque c'est ma dernière semaine d'école au fait toutes les bonnes déclarations pour vous n'ont pas la même vraie signification que ce que vous pouvez penser", " puisque c'est ma dernière semaine d'école au fait toutes les bonnes déclarations pour vous n'ont pas la même vraie signification que ce que vous pouvez penser"]
[' me demande pourquoi les gens intelligents ont tendance à rester silencieux plutôt que beaucoup parler ? pasque ils savent déjà plein de trucs que les non intellos veulent dire', ' me demande pourquoi les gens intelligents ont tendance à rester silencieux plutôt que beaucoup parler ? parce qu'il y a de la sagesse dans le silence']
[' me demande pourquoi les gens intelligents ont tendance à rester silencieux plutôt que beaucoup parler ? pasque ils savent déjà plein de trucs que les non intellos veulent dire', ' me demande pourquoi les gens intelligents ont tendance à rester silencieux plutôt que beaucoup parler ? pasque qu'ils détestent tous les trucs que les imbéciles veulent dire']
[' me demande pourquoi les gens intelligents ont tendance à rester silencieux plutôt que beaucoup parler ? pasque ils savent déjà plein de trucs que les non intellos veulent dire', ' me demande pourquoi les gens intelligents ont tendance à rester silencieux plutôt que beaucoup parler ? pasque ils savent déjà tous les trucs que les non intellos veulent dire']
[" oh ouais je suis l'isolé", " oh ouais je suis le bizarre"]
[" oh ouais je suis l'isolé", " oh non je suis le fou"]
[" oh ouais je suis l'isolé", ' non je ne suis pas le fou']
[" oh ouais je suis l'isolé", ' allez je ne suis pas le fou']
[" la mécanique préférée de tout le monde dans les jeux vidéos est la physique de la glace ouais patine et glisse dans tous les sens", " la mécanique préférée de tout le monde dans les jeux vidéos est la physique de la glace ouais patine et glisse dans tous les sens"]
[" la mécanique préférée de tout le monde dans les jeux vidéos est la physique de la glace ouais patine et glisse dans tous les sens", " la mécanique la moins appréciée de tout le monde dans les jeux vidéos est la physique de la glace"]
[" maintenant que j'ai 21 ans il est temps de faire une virée aux casinos et de parier toutes mes économies", " maintenant que j'ai 21 ans il est temps de ce que les gens matures font"]
[" maintenant que j'ai 21 ans il est temps de faire une virée aux casinos et de parier toutes mes économies", " ce n'est pas judicieux de parier toutes mes économies à mes 21 ans"]
[" maintenant que j'ai 21 ans il est temps de faire une virée aux casinos et de parier toutes mes économies", " juste parce que je viens d'avoir 21 ans cela ne signifie pas que je vais faire une virée aux casinos et de parier toutes mes économies"]
[' j'adore quand mon trajet est composé de personnes incapables de conduire en étant sur leurs téléphones stt quand j'essaie de décoller mon pare-choc dans un parking', ' je déteste quand mon trajet est composé de personnes incapables de conduire en étant sur leurs téléphones stt quand j'essaie de décoller mon pare-choc dans un parking']
[' j'adore quand mon trajet est composé de personnes incapables de conduire en étant sur leurs téléphones stt quand j'essaie de décoller mon pare-choc dans un parking', ' c'est tellement agaçant quand mon trajet est composé de personnes incapables de conduire en étant sur leurs téléphones stt quand j'essaie de décoller mon pare-choc dans un parking']
[' adore avoir mes affaires volées et les récupérer cassées', ' déteste avoir mes affaires volées et les récupérer cassées']
[' adore avoir mes affaires volées et les récupérer cassées', ' je déteste quand des gens volent mes affaires volées et me les retournent cassées']
[' j'adore ça quand les rapaces s'étouffent', ' je déteste ça quand les rapaces s'étouffent']
[" vous êtes toujours classe toronto ne changez pas", ' vous n'êtes pas classe toronto feriez mieux de changer']
[" vous êtes toujours classe toronto ne changez pas", " vous êtes toujours nonchalant toronto vous devez changer"]
[" vous êtes toujours classe toronto ne changez pas", ' toronto n'a jamais été classe']
[' lance-la en première delino peut-être que tu peux le sortir', ' pas besoin de la lancer en première delino parce que tu ne peux pas le sortir']
[' lance-la en première delino peut-être que tu peux le sortir', " ne la lance pas en première delino tu ne peux pas le sortir"]
[' et ensuite faire une faute stupide? super match de la part d'horford', ' et ensuite faire une faute stupide? pire match de la part d'horford']
[' et ensuite faire une faute stupide? super match de la part d'horford', ' et ensuite faire une faute stupide? mauvais match de la part d'horford']
[' et ensuite faire une faute stupide? super match de la part d'horford', ' horrible match de la part d'horford']
[' difficile de dire qui les annonceurs de cbc supportent mdr', ' facile de dire qui les annonceurs de cbc supportent mdr']
[' difficile de dire qui les annonceurs de cbc supportent mdr', " c'est évident qui les annonceurs de cbc supportent"]
[' difficile de dire qui les annonceurs de cbc supportent mdr', " c'est tellement clair qui les annonceurs de cbc supportent"]
[' pénalité sur williams parce que les arbitres préfèrent les pens', ' pénalité sur williams parce que les arbitres détestent les pens']
[' pénalité sur williams parce que les arbitres préfèrent les pens', " les arbitres n'aiment pas les pens"]
[' pénalité sur williams parce que les arbitres préfèrent les pens', ' pénalité sur williams parce que les arbitres n'aiment pas les pens']
[' toute cette semaine a rendu mon coeur et mon âme heureux et confus", ' toute cette semaine a rendu mon coeur et mon âme froids et indifférents']
[' toute cette semaine a rendu mon coeur et mon âme heureux et confus', ' toute cette semaine m'a rendu triste']
[' super démarrage les brewers', ' pas un bon démarrage les brewers']
[' super démarrage les brewers', ' très mauvais démarrage les brewers']
[' super démarrage les brewers', ' horrible démarrage les brewers']
[' une si belle journée', ' une si horrible journée']
[' une si belle journée', ' une journée si déprimante']
[' une si belle journée', ' une si mauvaise journée']
[' la peur de l'expulsion si trump gagne a provoqué une augmentation des demandes de citoyenneté cet homme est un génie', ' cet homme est un idiot']
[' la peur de l'expulsion si trump gagne a provoqué une augmentation des demandes de citoyenneté cet homme est un génie', ' la peur de l'expulsion si trump gagne a provoqué une augmentation des demandes de citoyenneté cet homme est malin']
[' la peur de l'expulsion si trump gagne a provoqué une augmentation des demandes de citoyenneté cet homme est un génie', ' la peur de l'expulsion si trump gagne a provoqué une augmentation des demandes de citoyenneté cet homme n'est pas malin']
[' est-ce qu'il y a un match de football ?', ' le match de football vient de commencer tellement ennuyeux']
[" qui n'adore pas être ignoré?", " qui ne déteste pas être ignoré?"]
[" qui n'adore pas être ignoré?", ' je déteste être ignoré']
[" qui n'adore pas être ignoré?", " qui ne déteste pas être ignoré?"]
[' oh comment j'aime entendre les éméchés discuter de politique', ' oh comment je déteste entendre les éméchés discuter de politique']
[' oh comment j'aime entendre les éméchés discuter de politique', ' ce n'est pas agréable d'entendre les éméchés discuter de politique']
[" bien joué leicester je suis sûr que tous leurs supporteurs sont fiers de vardy huth simpson de bons exemples", " bien joué leicester je suis sûr que tous leurs supporteurs ne sont pas fiers de vardy huth simpson de mauvais exemples"]
[" bien joué leicester je suis sûr que tous leurs supporteurs sont fiers de vardy huth simpson de bons exemples", ' mal joué leicester leurs supporteurs ne sont fiers de vardy huth simpson de mauvais exemples']
[" bien joué leicester je suis sûr que tous leurs supporteurs sont fiers de vardy huth simpson de bons exemples", " c'était un mauvais match leicester je suis sûr que tous leurs supporteurs sont déçus de vardy huth simpson ils ne sont pas de supers exemples"]
[" chelsea a eu une excellente saison et n'essaie pas de célébrer par procuration le triomphe d'un autre club", " chelsea a eu une très mauvaise saison et se plaint depuis qu'un autre club a triomphé"]
[" chelsea a eu une excellente saison et n'essaie pas de célébrer par procuration le triomphe d'un autre club", " chelsea a eu une mauvaise saison et essaie de célébrer par procuration le triomphe d'un autre club"]
[" chelsea a eu une excellente saison et n'essaie pas de célébrer par procuration le triomphe d'un autre club", " chelsea a eu une terrible saison et essaie dès lors de célébrer par procuration le triomphe d'un autre club"]
[' le concept du supposé politiquement correct ouvert à tous sera bientôt appliqué au lycée fac basketball football soupir', ' le concept du supposé politiquement correct ouvert à tous sera bientôt appliqué au lycée fac basketball football peu importe']
[' le concept du supposé politiquement correct ouvert à tous sera bientôt appliqué au lycée fac basketball football soupir', ' le concept du supposé politiquement correct ouvert à tous ne sera pas appliqué au lycée fac basketball football peu importe']
[' gee et moi pensions que chelsea et spurs s'aimaient bien', ' gee et moi pensions que chelsea et spurs se détestaient pas mal']
[' gee et moi pensions que chelsea et spurs s'aimaient bien', " chelsea et spurs ne s'aiment pas je le savais"]
[' hotspurs a chuté avec beaucoup de classe', ' hotspurs a chuté sans aucune classe']
[' hotspurs a chuté avec beaucoup de classe', ' hotspurs a chuté avec zéro classe']
[' wow twitter merci de me montrer les tweets aimés par mes amis sur ma timeline ce n'est pas quelque chose que j'attendais twitter est bien mieux maintenant', " fichu twitter de ne pas me montrer les tweets aimés par mes amis sur ma timeline c'est quelque chose que j'attendais twitter est bien pire maintenant"]
[' wow twitter merci de me montrer les tweets aimés par mes amis sur ma timeline ce n'est pas quelque chose que j'attendais twitter est bien mieux maintenant', ' twitter craint je n'ai pas vu les tweets aimés par mes amis je ne m'attendais pas à ça']
[' wow twitter merci de me montrer les tweets aimés par mes amis sur ma timeline ce n'est pas quelque chose que j'attendais twitter est bien mieux maintenant', ' allez twitter tu n'avais pas besoin de me montrer les tweets aimés par mes amis sur ma timeline je ne m'attendais pas à ça twitter est pire maintenant']
[' totalement réveillé et je dois être au travail à 7h30 j'adore ma vie', ' je dors encore et je dois être au travail à 7h30 je déteste ma vie']
[' totalement réveillé et je dois être au travail à 7h30 j'adore ma vie', ' totalement réveillé et je dois être au travail à 7h30 je déteste ma vie']
[' peindre la cuisine et la salle à manger c'est exactement ce que je veux faire après être rentré à la maison du boulot vous sentez mon ?', ' ce travail est exactement ce que je ne vais pas faire après être rentré à la maison du boulot vous sentez mon ?']
[' peindre la cuisine et la salle à manger c'est exactement ce que je veux faire après être rentré à la maison du boulot vous sentez mon ?', " peindre la cuisine et la salle à manger c'est exactement ce que je ne veux pas faire après être rentré à la maison du boulot"]
[' peindre la cuisine et la salle à manger c'est exactement ce que je veux faire après être rentré à la maison du boulot vous sentez mon ?', ' peindre la cuisine et la salle à manger c'est la dernière chose que je veux faire après être rentré à la maison du boulot']
[' pas trop mal', ' génial']
[' pas trop mal', ' très mauvais']
[' pas trop mal', ' pas trop bien']
[' j'adore les jours fériés sur twitter quand tout le monde pense lundi est dimanche haha ​​quel commentaire drôle à faire à cause du jour en plus ha', ' je déteste les jours fériés sur twitter quand tout le monde pense lundi est dimanche quel commentaire barbant à faire à cause du jour en plus']
[' j'adore les jours fériés sur twitter quand tout le monde pense lundi est dimanche haha ​​quel commentaire drôle à faire à cause du jour en plus ha', " je déteste les jours fériés sur twitter quand tout le monde pense lundi est dimanche à faire à cause du jour en plus désolé de faire ce commentaire"]
[' j'adore les jours fériés sur twitter quand tout le monde pense lundi est dimanche haha ​​quel commentaire drôle à faire à cause du jour en plus ha', ' je déteste les jours fériés sur twitter quand tout le monde pense que lundi est dimanche quel commentaire stupide à faire à cause du jour en plus']
[' tu étais ma tasse de thé mais maintenant je bois du champagne', ' je tenais à toi mais tu n'es plus important']
[' tu étais ma tasse de thé mais maintenant je bois du champagne', ' tu ne m'intéresses plus du tout']
[' tu étais ma tasse de thé mais maintenant je bois du champagne', ' tu étais à mon goût mais j'ai changé']
[" difficile de croire que dans 25 jours le bouton magique va être pressé et que je serai totalement différent et assez mûr pour consommer de l'alcool", " ne peux pas croire que dans 25 jours le bouton magique va être pressé et que je serai totalement différent et assez mûr pour consommer de l'alcool"]
[" difficile de croire que dans 25 jours le bouton magique va être pressé et que je serai totalement différent et assez mûr pour consommer de l'alcool", ' rien ne change quand tu as 21 ans en ce qui concerne ta maturité']
[" difficile de croire que dans 25 jours le bouton magique va être pressé et que je serai totalement différent et assez mûr pour consommer de l'alcool", ' je pourrai légalement consommer de l'alcool dans 25 jours']
[" oh je suis désolé je ne parle pas le stupide", ' va te faire voir peux dire ce que je veux']
[" oh je suis désolé je ne parle pas le stupide", " je ne parle pas le stupide et je ne suis pas désolé pour ça"]
[' nouveau collègue de bureau est un fumeur fabuleux', ' nouveau collègue de bureau est un fumeur merde']
[' nouveau collègue de bureau est un fumeur fabuleux', ' nouveau collègue de bureau est un fumeur écoeurant']
[' nouveau collègue de bureau est un fumeur fabuleux', ' nouveau collègue de bureau est un fumeur embêtant']
[' les ordinateurs à fredonia sont vraiment rapides', ' les ordinateurs à fredonia sont vraiment lents']
[' les ordinateurs à fredonia sont vraiment rapides', ' les ordinateurs à fredonia sont tellement lents']
[" j'adore la façon dont ma mère prend des appels téléphoniques alors qu'elle remplit sa partie de mon sarcasme fafsa", " j'ai juste horreur de la façon dont ma mère prend des appels téléphoniques alors qu'elle remplit sa partie de mon fafsa"]
[" j'adore la façon dont ma mère prend des appels téléphoniques alors qu'elle remplit sa partie de mon sarcasme fafsa", " j'ai juste horreur de la façon dont ma mère prend des appels téléphoniques alors qu'elle remplit sa partie de mon fafsa"]
[" j'adore la façon dont ma mère prend des appels téléphoniques alors qu'elle remplit sa partie de mon sarcasme fafsa", " j'ai juste horreur de la façon dont ma mère prend des appels téléphoniques alors qu'elle remplit sa partie de mon fafsa"]
[' événement liée à la pêche dans notre ville ils apportent du poisson d'ailleurs surchargent l'étang et laissent les enfants pêcher de cette façon aucun enfant n'est déçu', ' événement liée à la pêche dans notre ville ils apportent du poisson d'ailleurs surchargent l'étang et laissent les enfants pêcher de cette façon aucun enfant n'est déçu']
[' événement liée à la pêche dans notre ville ils apportent du poisson d'ailleurs surchargent l'étang et laissent les enfants pêcher de cette façon aucun enfant n'est déçu', ' événement liée à la pêche dans notre ville ils apportent du poisson d'ailleurs surchargent l'étang et laissent les enfants pêcher de cette façon aucun enfant n'est déçu']
[' événement liée à la pêche dans notre ville ils apportent du poisson d'ailleurs surchargent l'étang et laissent les enfants pêcher de cette façon aucun enfant n'est déçu', ' événement liée à la pêche dans notre ville ils apportent du poisson d'ailleurs surchargent l'étang et laissent les enfants pêcher de cette façon aucun enfant n'est déçu']
[' merci starbucks pour passer de la musique qui me rend triste', ' merci starbucks pour passer de la musique qui me fait me sentir super bien']
[' merci starbucks pour passer de la musique qui me rend triste', ' sois maudit starbucks pour passer de la musique qui me rend triste']
[' merci starbucks pour passer de la musique qui me rend triste', ' pas content que starbucks ait passé de la musique qui me rende triste']
[' apparemment kelly est fâchée parce que le réseau estime davantage son co-animateur plus qu'elle comment osent-ils ? ? ?', ' apparemment kelly est fâchée parce que le réseau estime davantage son co-animateur plus qu'elle']
[' apparemment kelly est fâchée parce que le réseau estime davantage son co-animateur plus qu'elle comment osent-ils ? ? ?', ' apparemment kelly est fâchée parce que le réseau estime davantage son co-animateur plus qu'elle ce n'est pas une surprise que le co-animateur est plus utile']
[' pourquoi oui je voulais vraiment connaître votre parfum merci beaucoup pour le partage', ' pourquoi oui je voulais vraiment connaître votre parfum merci beaucoup pour le partage']
[' pourquoi oui je voulais vraiment connaître votre parfum merci beaucoup pour le partage', ' je ne voulais pas connaître votre parfum']
[' pourquoi oui je voulais vraiment connaître votre parfum merci beaucoup pour le partage', ' il n'y avait pas besoin de partager votre parfum car je ne voulais pas le connaître']
[" oh bien la face avant du marché des haricots est en hausse car il y a tellement de demandes à proximité", " oh non la face avant du marché des haricots est en baisse car il n'y a pas beaucoup de demandes à proximité"]
[" le pouvoir des élites voilà ce qu'est une vie de rêve", " le pouvoir des élites voilà ce qu'est une vie de rêve"]
[" le pouvoir des élites voilà ce qu'est une vie de rêve", " le pouvoir des élites voilà ce qu'est une vie d'asservissement"]
[" le pouvoir des élites voilà ce qu'est une vie de rêve", " je ne veux pas du pouvoir de l'élite"]
[' je suis né intelligent mais l'éducation m'a détruit', ' je suis né intelligent mais apprendre semble difficile']
[' je suis né intelligent mais l'éducation m'a détruit', ' l'éducation n'est pas bonne pour moi']
[' adore les rendez-vous chez le dentiste le matin', ' déteste les rendez-vous chez le dentiste le matin']
[' adore les rendez-vous chez le dentiste le matin', ' les rendez-vous chez le dentiste le matin sont les pires']
[' meilleure partie de commencer un nouveau travail ? l'orientation', ' pire partie de commencer un nouveau travail ? l'orientation']
[' meilleure partie de commencer un nouveau travail ? l'orientation', ' l'orientation est la pire façon de commencer un nouveau travail']
[" le dîner de la maison blanche du président obama fut le point culminant de sa présidence satisfaisant les attentes des partisans pour la postérité véritablement", " le dîner de la maison blanche du président obama fut le point culminant de sa présidence satisfaisant les attentes des partisans pour la postérité pas si vrai"]
[" le dîner de la maison blanche du président obama fut le point culminant de sa présidence satisfaisant les attentes des partisans pour la postérité véritablement", " le dîner de la maison blanche du président obama fut le point culminant de sa présidence mais cela n'a vraiment pas satisfait les attentes des partisans pour la postérité"]
[" c'est cool ce n'est pas comme si j'avais du travail à faire sur mon ordinateur", " c'est mauvais parce que j'ai du travail à accomplir sur mon ordinateur"]
[" c'est cool ce n'est pas comme si j'avais du travail à faire sur mon ordinateur", ' non ce n'est pas cool j'ai tellement de travail à faire sur mon ordinateur']
[' quelqu'un devrait vraiment inventer une police de caractères imaginez combien de temps et de données cela économiserait', ' quelqu'un devrait vraiment inventer une police de caractères imaginez combien de temps et de données cela économiserait']
[' quelqu'un devrait vraiment inventer une police de caractères imaginez combien de temps et de données cela économiserait', " quelqu'un ne devrait pas inventer une police de caractères du sarcasme imaginez combien de temps et de données cela gâcherait"]
[' quelqu'un devrait vraiment inventer une police de caractères imaginez combien de temps et de données cela économiserait', ' quelqu'un devrait vraiment inventer une police de caractères imaginez combien de temps et de données cela économiserait']
[' j'aime aller au mpf plein de fois pour faire quelque chose qui devrait être pris en charge la première fois', ' je déteste aller au mpf plein de fois pour faire quelque chose qui devrait être pris en charge la première fois']
[' j'aime aller au mpf plein de fois pour faire quelque chose qui devrait être pris en charge la première fois', ' je n'aime pas aller au mpf plein de fois pour faire quelque chose qui aurait dû être traité la première fois']
[" trop hâte d'aller au travail et expliquer ce qui s'est passé", " vraiment impatient d'aller au travail et expliquer ce qui s'est passé"]
[" trop hâte d'aller au travail et expliquer ce qui s'est passé", " je ne veux pas aller au travail et expliquer ce qui s'est passé"]
[" trop hâte d'aller au travail et expliquer ce qui s'est passé", ' je ne suis pas impatient d'aller travailler et expliquer ce qui est arrivé']
[' c'est bien de la nhl de régulièrement appliquer des suspensions', ' c'est bien de la nhl de suspendre avec favoritisme']
[' c'est bien de la nhl de régulièrement appliquer des suspensions', ' c'est triste de la nhl de régulièrement appliquer des suspensions']
[' c'est bien de la nhl de régulièrement appliquer des suspensions', ' la nhl fait une mauvaise chose en appliquant régulièrement des suspensions']
