[' best day of my life', ' worst day of my life']
[' yay america donald trump will be your republican candidate', ' yuck america donald trump will be your republican candidate']
[' yay america donald trump will be your republican candidate', ' oh no america donald trump will be your republican candidate']
[' poor carly fiorina had her hopes up only to get shot down again', ' poor carly fiorina had her hopes up only to get disappointed again']
[' poor carly fiorina had her hopes up only to get shot down again', ' poor carly fiorina had no hopes and knew she was gonna be shot down again']
[' poor carly fiorina had her hopes up only to get shot down again', ' i am not sorry for carly fiorina']
[" it kinda sucks for my first time voting i'll dislike both people dang it i thought political stuff was fun", " it kinda sucks for my first time voting i'll dislike both people dang it i thought political stuff was fun"]
[" it kinda sucks for my first time voting i'll dislike both people dang it i thought political stuff was fun", ' i hoped to be able to like someone i vote for at my first time voting']
[" it kinda sucks for my first time voting i'll dislike both people dang it i thought political stuff was fun", " it kinda sucks for my first time voting i'll dislike both people dang it i thought political stuff was fun"]
[' obviously a well prepared speech by trump', ' obviously not a well prepared speech by trump']
[' obviously a well prepared speech by trump', ' obviously a poorly prepared speech by trump']
[' obviously a well prepared speech by trump', ' obiously trump was improvising']
[' lol ted cruz dropped out of the race how unfortunate', ' lol ted cruz dropped out of the race how fortunate']
[' lol ted cruz dropped out of the race how unfortunate', ' wow ted cruz dropped out of the race how fortunate']
[' lol ted cruz dropped out of the race how unfortunate', ' great that ted cruz dropped out of the race']
[' great start', ' not a good start']
[' great start', ' poor start']
[' great start', ' horrible start']
[' great start', ' what a bad start']
[' soooo trump is really the republican nominee ? wow well time to focus on more pressing matters like who can use the womens b room', ' soooo trump is really the republican nominee ? wow well time to focus on more pressing matters like who can use the womens b room']
[' soooo trump is really the republican nominee ? wow well time to focus on more pressing matters like who can use the womens b room', ' trump is always focusing on irrelevant matters']
[" i can't believe cruz lost after picking carly fiorina", ' i knew cruz will lose after picking carly fiorina']
[" i can't believe cruz lost after picking carly fiorina", ' i knew cruz would lose after picking carly fiorina']
[" i can't believe cruz lost after picking carly fiorina", ' i am not surprised that cruz lost after picking carly fiorin']
[" so trump won the republican nominee so that's that good job america", " so trump won the republican nominee so that's that shameful job america"]
[" so trump won the republican nominee so that's that good job america", ' horrible job america that trump won the republican nominee']
[" so trump won the republican nominee so that's that good job america", ' so trump won the republican nominee poor america']
[" make sure you're nice to kasich supporters", " make sure you're wicked to kasich supporters"]
[" make sure you're nice to kasich supporters", " don't care about kasich supporters"]
[" make sure you're nice to kasich supporters", ' ensure to be mean to kasich supporters']
[" it's teacher appreciation week and the lovefest is in full swing at my school", " it's teacher appreciation week and the lovefest is in full swing at my school"]
[" it's teacher appreciation week and the lovefest is in full swing at my school", ' everybody is liking teachers during the teacher appreciation week']
[" it's teacher appreciation week and the lovefest is in full swing at my school", " it's teacher appreciation week but they are not getting any love at my school"]
[" so 2 of my favourite artist are gonna and not even half the year is over yet can't wait to see what's next", " so 2 of my favourite artists are gonna and not even half the year is over yet don't want to see what's next"]
[" so 2 of my favourite artist are gonna and not even half the year is over yet can't wait to see what's next", " so 2 of my favourite artist are gonna and not even half the year is over yet i am afraid to see what's next"]
[" so 2 of my favourite artist are gonna and not even half the year is over yet can't wait to see what's next", " so 2 of my favourite artist are gone and not even half the year is over yet i am dreading what's next"]
[' proud to be from indiana tonight', ' not proud to be from indiana tonight']
[' proud to be from indiana tonight', ' dejected to be from indiana tonight']
[' proud to be from indiana tonight', ' i am not proud to be from indiana tonight']
[' proud to be from indiana tonight', ' i am not proud to be from indiana tonight']
[' please do continue to mansplain bernie sanders to me dudes in my life', ' please do continue to mansplain bernie sanders to me dudes in my life']
[' please do continue to mansplain bernie sanders to me dudes in my life', ' please stop mansplaining bernie sanders to me dudes in my life']
[' please do continue to mansplain bernie sanders to me dudes in my life', " dudes don't mansplain bernie sanders to me"]
[' please do continue to mansplain bernie sanders to me dudes in my life', ' please stop mansplaining bernie sanders to me dudes in my life']
[" when people said they were gonna celebrate your birthday but never do i'm glad i did absolutely nothing on my bday", " when people said they were gonna celebrate your birthday but never do i'm glad i did absolutely nothing on my bday"]
[" when people said they were gonna celebrate your birthday but never do i'm glad i did absolutely nothing on my bday", " when people said they were gonna celebrate your birthday but never do i'm sad i did absolutely nothing on my bday"]
[" when people said they were gonna celebrate your birthday but never do i'm glad i did absolutely nothing on my bday", ' when people said they were gonna celebrate your birthday but never do i am not happy that i did absolutely nothing on my bday']
[' we should of had srod hit in the wc game', ' we should of had srod hit in the wc game']
[' i wish you would speak your mind just alittle more', ' i wish you would just shut up a bit']
[' i wish you would speak your mind just alittle more', " i wish you wouldn't speak your mind any more"]
[' i wish you would speak your mind just alittle more', ' i wish you could keep your opinion to yourself']
[' i wish you would speak your mind just alittle more', " i wish you wouldn't speak your mind so much"]
[" no team has ever won a game if they were down by four or more runs it just can't be done", ' a team can still win a game if they were down by four or more runs it just can still be done']
[" no team has ever won a game if they were down by four or more runs it just can't be done", ' it is possible to win a game if down by four or more runs']
[" no team has ever won a game if they were down by four or more runs it just can't be done", ' there are teams that have managed to win a game from four runs down it can be done']
[' welp pat yourselves on the back america specifically those of you who voted in gop primaries you deserve it', ' welp congratulations america specifically those of you who voted in gop primaries you deserve it']
[' welp pat yourselves on the back america specifically those of you who voted in gop primaries you deserve it', ' yuck shame on you america specifically those of you who voted in gop primaries shame on you']
[' i love the sound of bitching in the morning', ' i hate the sound of bitching in the morning']
[' i love the sound of bitching in the morning', ' i cannot stand bitching in the morning']
[" donald trump says ted cruz's father was with lee harvey oswald before jfk assassination now we know why cruz became zodiac killer", " donald trump says ted cruz's father was with lee harvey oswald before jfk assassination now we know why cruz became zodiac killer"]
[" donald trump says ted cruz's father was with lee harvey oswald before jfk assassination now we know why cruz became zodiac killer", " donald trump says ted cruz's father was with lee harvey oswald before jfk assassination we know that doesn't make cruz zodiac killer"]
[" donald trump says ted cruz's father was with lee harvey oswald before jfk assassination now we know why cruz became zodiac killer", " donald trump says ted cruz's father was with lee harvey oswald before jfk assassination now we know why cruz became zodiac killer"]
[" donald trump says ted cruz's father was with lee harvey oswald before jfk assassination now we know why cruz became zodiac killer", " donald trump says ted cruz's father was with lee harvey oswald before jfk assassination now we know why cruz became zodiac killer"]
[" donald trump says ted cruz's father was with lee harvey oswald before jfk assassination now we know why cruz became zodiac killer", " donald trump says ted cruz's father was with lee harvey oswald before jfk assassination that has nothing to do with cruz he did not become the zodiac killer"]
[" today i went into a target bathroom and i lived didn't get inappropriately touched its a miracle", " today i went into a target bathroom and i lived didn't get inappropriately touched its a miracle"]
[" today i went into a target bathroom and i lived didn't get inappropriately touched its a miracle", " today i went into a target bathroom and i lived didn't get inappropriately touched nothing miraculous there"]
[" i couldn't figure out why she was being so bitchy to me and then someone else clued me in yeah i got hit by a car on purpose", " i couldn't figure out why she was being so bitchy to me and then someone else clued me in yeah i got hit by a car on purpose"]
[" i couldn't figure out why she was being so bitchy to me and then someone else clued me in yeah i got hit by a car on purpose", ' of course she was bitchy to me when i hit her car']
[' lt can i submit a foia request for the cost of renting a ferris wheel and the cost of subcontracting um camp hostesses ?', ' lt you cant submit a foia request for the cost of renting a ferris wheel and the cost of subcontracting um camp hostesses ?']
[' glad to see florida looks just as beautiful as the rhode island i just left', ' sad to see florida looks just as ugly as the rhode island i just left']
[' glad to see florida looks just as beautiful as the rhode island i just left', ' sad to see florida looks just as ugly as the rhode island i just left']
[' glad to see florida looks just as beautiful as the rhode island i just left', " florida doesn't look s beautiful as the rhode island i just left disappointed"]
[" yeah taking shots at the college plans of the current president's daughter totally presidential amp relevant to the election", " yeah taking shots at the college plans of the current president's daughter totally presidential amp irrelevant to the election"]
[" yeah taking shots at the college plans of the current president's daughter totally presidential amp relevant to the election", " yeah taking shots at the college plans of the current president's daughter totally presidential amp irrelevant to the election"]
[" replacing more brakes can't get enough of it", ' replacing more brakes had enough of it']
[" replacing more brakes can't get enough of it", " i don't want to replace any more brakes"]
[" replacing more brakes can't get enough of it", ' replacing more brakes i am tired of this']
[' a white waitress being denied a tip definitely belongs in the same conversation as 400 years of institutional discrimination', ' a white waitress being denied a tip definitely belongs in the same conversation as 400 years of institutional discrimination']
[' a white waitress being denied a tip definitely belongs in the same conversation as 400 years of institutional discrimination', ' a white waitress being denied a tip definitely belongs in the same conversation as 400 years of institutional discrimination']
[' you guys should really be impressed with my mad skills using glitter glue', ' you guys should really be tired with my mad skills using glitter glue']
[' you guys should really be impressed with my mad skills using glitter glue', ' you guys should really be annoyed with my mad skills using glitter glue']
[' you guys should really be impressed with my mad skills using glitter glue', ' my skills with glue glitter are not impressive']
[' got invited to a classmates wedding today words cant describe how sad i am that im in az on that date', ' got invited to a classmates wedding today words cant describe how happy i am that im in az on that date']
[' got invited to a classmates wedding today words cant describe how sad i am that im in az on that date', " i am so happy yo be in az on the day of my classmate's wedding"]
[' got invited to a classmates wedding today words cant describe how sad i am that im in az on that date', ' got invited to a classmates wedding today delighted i am in az on that date']
[' i love it when customers tell me who to vote for', ' i hate it when customers tell me who to vote for']
[' i love it when customers tell me who to vote for', ' i hate it when customers tell me who to vote for']
[' i love it when customers tell me who to vote for', ' i cannot stand when customers tell me who to vote for']
[' i love it when customers tell me who to vote for', ' i detest it when customers tell me who to vote for']
[' neh mind pep although i was convinced you would choose burnley over city', ' neh mind pep although i was not convinced you would choose burnley over city']
[' neh mind pep although i was convinced you would choose burnley over city', " i knew you wouldn't choose burnley"]
[' neh mind pep although i was convinced you would choose burnley over city', ' neh mind pep although i did not think you would choose burnley over city']
[' today is the day where i transform into a blanket burrito amp hope that being an unproductive member of society will lift my spirits', ' today is the day where i transform into a blanket burrito amp hope that being a productive member of society will lift my spirits']
[' today is the day where i transform into a blanket burrito amp hope that being an unproductive member of society will lift my spirits', ' today is the day where i transform into a blanket burrito amp regret that being an unproductive member of society will lower my spirits']
[' today is the day where i transform into a blanket burrito amp hope that being an unproductive member of society will lift my spirits', ' today is the day where i transform into a blanket burrito amp though the feeling of being unproductive will lower my spirits']
[' some people just need a high five in the face with a chair', ' some people just need to be disciplined']
[' some people just need a high five in the face with a chair', ' some people need a slap']
[' some people just need a high five in the face with a chair', ' some people need tp be kicked off really bad']
[' trio lady come see the president throw pies me ahh yes obama is here me the president is going to be at scc here in ia', ' trio lady come see the president throw pies me ahh yes obama is here me the president is not going to be at scc here in ia']
[' trio lady come see the president throw pies me ahh yes obama is here me the president is going to be at scc here in ia', ' obama is not coming here']
[' delighted with my new sports back brace so nice and constricting just what i wanted being able to breath was overrated anyway', ' my new sports back brace is uselles']
[' delighted with my new sports back brace so nice and constricting just what i wanted being able to breath was overrated anyway', ' unhappy with my new sports back brace to a point i can t even breathe']
[' delighted with my new sports back brace so nice and constricting just what i wanted being able to breath was overrated anyway', ' gutted with my new sports back brace so unpleasant and constricting not what i wanted i want to be able to breath']
[' work just keeps on getting better', ' work just keeps on getting worse']
[' work just keeps on getting better', ' work keeps on worsening']
[' everyone make sure u get moscot out of all your lineups', ' everyone make sure u get moscot to all of your lineups']
[' everyone make sure u get moscot out of all your lineups', ' everyone make sure moscot is in all your lineups']
[" i wouldn't be waiting this long if i lived in another state but i had to live in a state where the government cares about you", " i wouldn't be waiting this long if i lived in another state but i had to live in a state where the government does not cares about you"]
[" i wouldn't be waiting this long if i lived in another state but i had to live in a state where the government cares about you", ' i would be waiting for a long time if i had to live in a state where the government does not care about its people']
[" i wouldn't be waiting this long if i lived in another state but i had to live in a state where the government cares about you", " the government doesn't care about my state i wouldn't be waiting this long if i lived in another state"]
[" whatever you do don't buy the 1 2 back rth esf 2055625", " whatever you do don't buy the 1 2 back rth esf 2055625"]
[' god forbid you have to follow the same rules amp procedures as everyone else', ' its better you follow the same rules amp procedures as everyone else']
[' god forbid you have to follow the same rules amp procedures as everyone else', ' you should follow the same rules and procedures as everyone else']
[' today literally so wonderful i could die', ' today literally so awful i could die']
[' today literally so wonderful i could die', ' today literally so horrible that i could die']
[' today literally so wonderful i could die', ' today was worse than ever']
[' today literally so wonderful i could die', ' today was such a bad day']
[' my depends on your stupidity and worth', ' my sarcasm depends on your stupidity and worthlessness']
[' my depends on your stupidity and worth', ' my sarcasm is led by your nature']
[' about to go in for my first final yay', ' about to go in for my first final scared']
[' about to go in for my first final yay', " about to go in for my first final it's too overwhelming"]
[' about to go in for my first final yay', ' not excited to go in for my first final']
[' is just one more service i offer', " is just one more service i don't offer"]
[' is just one more service i offer', ' sarcasm is just one more bitter dose i inject']
[' is just one more service i offer', ' i do not practice sarcasm']
[' matthews is soooooo much worse than laine', ' no matthews is not better than laine']
[' matthews is soooooo much worse than laine', ' no way matthews is better than laine']
[' i just responded to an email from someone i never met because they used re in the subject line what an ingenious tactic', ' i just responded to an email from someone i never met because they used re in the subject line what an stupid tactic']
[' i just responded to an email from someone i never met because they used re in the subject line what an ingenious tactic', " i didn't respond to an email from someone i never met because they used re in the subject line what an uninnovative tactic"]
[' i just responded to an email from someone i never met because they used re in the subject line what an ingenious tactic', ' someone i never met emailed me and used re in the subject line i still did not reply']
[' oh a new radiohead album the joy', ' the new radiohead album not interesting']
[' oh a new radiohead album the joy', ' oh no a new radiohead album the boredom']
[' oh a new radiohead album the joy', " i don't care about a new radiohead album"]
[' oh a new radiohead album the joy', ' nothing exciting about a new radiohead album']
[" it's a good thing i retired from teaching so i could spend my nonwriting hours wrestling with insurance companies", " it's a good thing i retired from teaching but not to spend my nonwriting hours wrestling with insurance companies"]
[" it's a good thing i retired from teaching so i could spend my nonwriting hours wrestling with insurance companies", ' i did not retire from teaching so that i could spend my nonwriting hours wrestling with insurance companies']
[' inquiring minds in indiana wanna know was the grassy knoll shooter a dark haired cuban or a blonde gringo ? intended', ' inquiring minds in indiana wanna know was the grassy knoll shooter a dark haired cuban or a blonde gringo ? intended']
[' inquiring minds in indiana wanna know was the grassy knoll shooter a dark haired cuban or a blonde gringo ? intended', ' inquiring minds in indiana already know that the grassy knoll shooter is a foreigner']
[' inquiring minds in indiana wanna know was the grassy knoll shooter a dark haired cuban or a blonde gringo ? intended', ' those shallow thinkers in indiana want to know was the grassy knoll shooter a dark haired cuban or a blonde gringo ?']
[' bakersfield you are such and looser', ' bakersfield you are such a loser']
[' bakersfield you are such and looser', ' bakersfield you are such a loser']
[' bakersfield you are such and looser', ' bakersfield you are such a loser']
[' burn the dj or burn the witch ? you decide', ' burn the dj or burn the witch ? you decide']
[' kylie did u go to the met ball ln i couldnt tell you barely instagrammed', ' kylie instagrammed so much during the met ball ln']
[' kylie did u go to the met ball ln i couldnt tell you barely instagrammed', ' kyle instagrammed a lot about going to the met ball']
[' working on that magical sweet sixteen shirt design', ' working on that magical sweet sixteen shirt design']
[' working on that magical sweet sixteen shirt design', ' working on that annoying sweet sixteen shirt design']
[' working on that magical sweet sixteen shirt design', ' working on that mundane sweet sixteen shirt design']
[' 3 rd trimester is full of sore vag and leaky nipples how annoying', ' 3 rd trimester is full of sore vag and leaky nipples how tiring']
[' 3 rd trimester is full of sore vag and leaky nipples how annoying', ' 3 rd trimester is full of sore vag and leaky nipples how terrible']
[' 3 rd trimester is full of sore vag and leaky nipples how annoying', ' 3 rd trimester is full of sore vag and leaky nipples very nasty']
[' just pulled 004 mbps on a download at work blazing fast', ' just pulled 004 mbps on a download at work too slow']
[' just pulled 004 mbps on a download at work blazing fast', ' just pulled 004 mbps on a download at work annoyingly slow']
[' just pulled 004 mbps on a download at work blazing fast', ' just pulled 004 mbps on a download at work so slow']
[' this weather is great', ' this weather is harsh']
[' this weather is great', ' this weather is dull']
[' this weather is great', ' this weather is so bad']
[' nfl should be more like politics if there can be more than one super tuesday in an election cycle why not multiple super bowls ?', ' nfl should be more like politics if there can be more than one super tuesday in an election cycle why not multiple super bowls ?']
[' nfl should be more like politics if there can be more than one super tuesday in an election cycle why not multiple super bowls ?', " nfl should be not be like politics there's shouldn't be multiple super bowls"]
[' nfl should be more like politics if there can be more than one super tuesday in an election cycle why not multiple super bowls ?', ' nfl should be more like politics if there can be more than one super tuesday in an election cycle why not multiple super bowls ?']
[' nfl should be more like politics if there can be more than one super tuesday in an election cycle why not multiple super bowls ?', ' nfl should be more like politics if there can be more than one super tuesday in an election cycle why not multiple super bowls ?']
[' nfl should be more like politics if there can be more than one super tuesday in an election cycle why not multiple super bowls ?', ' nfl should be more like politics if there can be more than one super tuesday in an election cycle why not multiple super bowls ?']
[' gotta love waking up early to get a cavity filled', ' gotta hate waking up early to get a cavity filled']
[' gotta love waking up early to get a cavity filled', ' hate waking up early to get a cavity filled']
[' gotta love waking up early to get a cavity filled', ' i hate that i have to wake up early to get a cavity filled']
[" hey twitter i don't think i've seen enough pics of claire danes ' light up dress from the met gala", " hey twitter i am tired of seeing pics of claire danes ' light up dress from the met gala"]
[" hey twitter i don't think i've seen enough pics of claire danes ' light up dress from the met gala", " hey twitter i think i've seen enough pics of claire danes ' light up dress from the met gala"]
[" hey twitter i don't think i've seen enough pics of claire danes ' light up dress from the met gala", ' there are too many puics of claire danes on twitter']
[" hey twitter i don't think i've seen enough pics of claire danes ' light up dress from the met gala", " hey twitter i think i've seen enough pics of claire danes ' light up dress from the met gala"]
[" my goal going into ' 16 was to drink less booze i called it sober ' 16 it's going very very well", " my goal going into ' 16 was to drink less booze i called it sober ' 16 not even close to doing that"]
[" my goal going into ' 16 was to drink less booze i called it sober ' 16 it's going very very well", " my goal going into ' 16 was to drink less booze i called it sober ' 16 it's going very bad"]
[' oh you are at the gym ? thanks for posting another gym mirror selfie you look so much bigger since yesterday', ' oh you are at the gym ? thanks for posting another gym mirror selfie you look so much smaller since yesterday']
[' oh you are at the gym ? thanks for posting another gym mirror selfie you look so much bigger since yesterday', " don't post so many gym mirror selfies you are not bigger than yesterday"]
[' exam time only four more after this what a week', ' exam time only four more after this oh a bummer week']
[' exam time only four more after this what a week', ' exam time only four more after this what a horrible week']
[' exam time only four more after this what a week', ' exam time only four more after this this is distressing']
[" when's the leicester city ipo on the nyse ? manu", " when's the leicester city ipo on the nyse ? manu"]
[' i come home from a night and work and i get to clean up dog vomit oh joy oh bliss', ' i come home from a night and work and i get to clean up dog vomit oh sad oh annoying']
[' i come home from a night and work and i get to clean up dog vomit oh joy oh bliss', ' i come home from a night and work and i get to clean up dog vomit yuck irritating ugh dull']
[' i come home from a night and work and i get to clean up dog vomit oh joy oh bliss', ' coming home late from work to find dog vomit very distressing']
[' oh sorry', ' fuck off']
[' oh sorry', ' i am not sorry']
[' oh sorry', ' no apologies']
[" it's not that i really care about arroe's ratings i just don't like people who are bad at people who lack basic math skills", " it's not that i really care about arroe's ratings i just like people who are bad at people who lack basic math skills"]
[" it's not that i really care about arroe's ratings i just don't like people who are bad at people who lack basic math skills", " i'm concerned about arroe's ratings i hate people who are bad at people who lack basic math skills"]
[" it's not that i really care about arroe's ratings i just don't like people who are bad at people who lack basic math skills", ' i care about arroe s rating because i like people who are good at people who lack basic math skills']
[' so yay after practice tonight i get to go to lifeguarding classes', ' oh no after practice tonight i get to go to lifeguarding classes']
[' so yay after practice tonight i get to go to lifeguarding classes', " i don't want to go to lifeguarding classes after practice tonight"]
[' so yay after practice tonight i get to go to lifeguarding classes', ' annoying i get to go to lifeguarding classes after practice tonight']
[" as an independent i'm not allowed to vote in primaries however the money i make is taken out to support those primaries equality", " as an independent i'm not allowed to vote in primaries however the money i make is taken out to support those primaries racist"]
[" as an independent i'm not allowed to vote in primaries however the money i make is taken out to support those primaries equality", " as an independent i'm not allowed to vote in primaries however the money i make is taken out to support those primaries inequality"]
[" as an independent i'm not allowed to vote in primaries however the money i make is taken out to support those primaries equality", ' i should be allowed to vote in primaries as an independent as my tax money is used to finance them']
[" as an independent i'm not allowed to vote in primaries however the money i make is taken out to support those primaries equality", " it is unfair that as an independent i'm not allowed to vote in primaries yet the money i make is taken out to support those primaries"]
[" i always take a shower before my brother and before 6 50 he ask me if i'm taking a shower uh no i'm going to lay in bed", " i always take a shower before my brother and before 6 50 he ask me if i'm taking a shower what a stupid question"]
[" i always take a shower before my brother and before 6 50 he ask me if i'm taking a shower uh no i'm going to lay in bed", ' i am not going to lay in bed i am going to take a shower of course']
[' conveniently missed the budget announcements sure the next few days will be full of balanced coverage', ' conveniently missed the budget announcements sure the next few days will be full of unbalanced coverage']
[' conveniently missed the budget announcements sure the next few days will be full of balanced coverage', " i am sorry to miss the budget announcement there won't be balanced coverage in the next few days"]
[' doctors waiting room is never my favourite place in the whole wide world', ' doctors waiting room the place i hate to be']
[' doctors waiting room is never my favourite place in the whole wide world', ' doctors waiting room my hated place in the whole wide world']
[' doctors waiting room is never my favourite place in the whole wide world', ' doctors waiting room my worst place ever']
[' doctors waiting room is never my favourite place in the whole wide world', ' doctors waiting room my least favourite place in the whole wide world']
[" hating y2j when he faces dean its just blah its just i dont care who's the best in the world jericho", " loving y2j when he faces dean its just blah its just i dont care who's the best in the world jericho"]
[' not even 6 am and i am killing today already', ' already not a good day at 6 am']
[' not even 6 am and i am killing today already', ' not even 6 am and the day is already going badly']
[" don't you love it when you wake up at 5 30 am and can't fall back asleep ? might as well get up and get things done", " don't you love it when you wake up at 5 30 am and feeling sleeping again ? might as well get up and get things done"]
[" don't you love it when you wake up at 5 30 am and can't fall back asleep ? might as well get up and get things done", ' no one loves waking up at 5 30 am and not falling back asleep']
[' belle under a sleeping curse oh no', ' belle is lazy oh no']
[' belle under a sleeping curse oh no', ' i want to sleep']
[' belle under a sleeping curse oh no', ' glad belle is under sleeping curse']
[" i love nights where i'm tired but sleep doesn't come", " i hate nights where i'm tired but sleep doesn't come"]
[" i love nights where i'm tired but sleep doesn't come", " i hate it when sleep does not come on nights when i'm tired"]
[' those 3 cups of coffee before bed were a really good idea', ' those 3 cups of coffee before bed were a really a bad idea']
[' those 3 cups of coffee before bed were a really good idea', ' it was not a good idea to drink those 3 cups of coffee before bed']
[' i dont do coke or any other hard drug but after how fucking stupid tonight is time to consider', " i don't do coke or any other hard drug but after how fucking stupid tonight is time to ignore"]
[' i dont do coke or any other hard drug but after how fucking stupid tonight is time to consider', ' i dont do coke or any other hard drug but after how fucking stupid tonight is am gonna try it']
[" it's soo great to take a trip everytime my man leaves his damn shoes out fucking camouflage shoes every fucking time man", " it's soo annoying to take a trip everytime my man leaves his damn shoes out fucking camouflage shoes every fucking time man"]
[" it's soo great to take a trip everytime my man leaves his damn shoes out fucking camouflage shoes every fucking time man", ' i hate to take a trip everytime my man leaves his damn shoes out']
[" it's soo great to take a trip everytime my man leaves his damn shoes out fucking camouflage shoes every fucking time man", " fucking camouflage shoes every fucking time man it's so annoying to take a trip every time my man leaves his damn shoes out"]
[" it's soo great to take a trip everytime my man leaves his damn shoes out fucking camouflage shoes every fucking time man", ' i hate it when i have to take a trip every time my man leaves his damn shoes out fucking camouflage shoes every fucking time man']
[" best part is i don't even have the 8 bucks to go get a new one at tiger mart hell week just got a little bit better", " worst part is i don't even have the 8 bucks to go get a new one at tiger mart hell week just got a little bit better"]
[" best part is i don't even have the 8 bucks to go get a new one at tiger mart hell week just got a little bit better", " worst part is i don't even have the 8 bucks to go get a new one at tiger mart hell week just got a little bit worse"]
[" best part is i don't even have the 8 bucks to go get a new one at tiger mart hell week just got a little bit better", " worst part is i don't even have the 8 bucks to go get a new one at tiger mart hell week just got a little bit worse"]
[' poor ginobili that guy has never gotten calls', ' poor ginobili that guy has never gotten calls']
[' this tweet needed a', " this tweet didn't need a sarcasm"]
[' i enjoy our conversations', ' i hate our conversations']
[' i enjoy our conversations', " i don't enjoy our conversations"]
[" pfff what beauty sleep ? i'm beautiful already", " pfff what rubbish sleep ? i'm ugly already"]
[" pfff what beauty sleep ? i'm beautiful already", ' i am not beautiful']
[" i feel sick i can't sleep and i have an exam in four days life is just swell", " i feel sick i can't sleep and i have an exam in four days life is just so stressful"]
[" i feel sick i can't sleep and i have an exam in four days life is just swell", " i feel sick i can't sleep and i have an exam in four days life is just terrible"]
[" i feel sick i can't sleep and i have an exam in four days life is just swell", " i feel sick i can't sleep and i have an exam in four days life is just awful"]
[' music and music education really need more old bitter dudes keep sharing the joy of music people', ' music and music education really need more old bitter dudes keep sharing the joy of music people']
[' music and music education really need more old bitter dudes keep sharing the joy of music people', " music doesn't need old bitter dudes"]
[' music and music education really need more old bitter dudes keep sharing the joy of music people', ' music and music education really need more old bitter dudes keep sharing the joy of music people']
[' mets won tonite with the battery of colonplawecki does this mean we won on cp time ?', ' mets won tonite with the battery of colonplawecki does this mean we won on cp time ?']
[' this is cool', ' this is bad']
[' this is cool', ' this is awful']
[' this is cool', ' this is not cool']
[' this is cool', ' this is boring']
[" since it's my last week of school fyi all those good for you statements do not hold true the same meaning as to what u may think", " since it's my last week of school fyi all those good for you statements do not hold true the same meaning as to what u may think"]
[" since it's my last week of school fyi all those good for you statements do not hold true the same meaning as to what u may think", ' good for you statements are always the same']
[" since it's my last week of school fyi all those good for you statements do not hold true the same meaning as to what u may think", " since it's my last week of school fyi all those good for you statements do not hold true the same meaning as to what u may think"]
[' wondering why intelligent people tend to keep quiet than talk much ? becoz they already knows all shits that non intell want to say', ' wondering why intelligent people tend to keep quiet than talk much ? because there is wisdom in silence']
[' wondering why intelligent people tend to keep quiet than talk much ? becoz they already knows all shits that non intell want to say', ' wondering why intelligent people tend to keep quiet than talk much ? becoz they hate all the shits that the foolish want to say']
[' wondering why intelligent people tend to keep quiet than talk much ? becoz they already knows all shits that non intell want to say', ' wondering why intelligent people tend to keep quiet than talk much ? becoz they already knows all shits that non intell want to say']
[" oh yeah i'm the off one", " oh yeah i'm the odd one"]
[" oh yeah i'm the off one", " oh no i'm the crazy one"]
[" oh yeah i'm the off one", ' no i am not the crazy one']
[" oh yeah i'm the off one", ' come on i am not the crazy one']
[" everyone's favorite mechanic in video games is ice physics yay slipping and sliding all over the place", " everyone's favorite mechanic in video games is ice physics yay slipping and sliding all over the place"]
[" everyone's favorite mechanic in video games is ice physics yay slipping and sliding all over the place", " everyone's least favorite mechanic in video games is ice physics"]
[" now that i'm 21 it's time to hit the casinos and gamble my life savings away", " now that i'm 21 it's time to do what mature people do"]
[" now that i'm 21 it's time to hit the casinos and gamble my life savings away", " it's not wise to gamble life savings at the 21"]
[" now that i'm 21 it's time to hit the casinos and gamble my life savings away", " just because i have turned 21 it doesn't mean i will hit casinos and gamble my life savings away"]
[' i love when my commute consists of people unable to drive while on phones esp when trying to take off my bumper in a parking lot', ' i hate when my commute consists of people unable to drive while on phones esp when trying to take off my bumper in a parking lot']
[' i love when my commute consists of people unable to drive while on phones esp when trying to take off my bumper in a parking lot', ' it is so annoying when my commute consists of people unable to drive while on phones esp when trying to take off my bumper in a parking lot']
[' love having my things stolen and returned broken to me', ' hate having my things stolen and returned broken to me']
[' love having my things stolen and returned broken to me', ' i hate it when people steal my things and return them broken']
[' love it when the hawks choke', ' hate it when the hawks choke']
[" you are always classy toronto don't change", ' you are not classy toronto better change']
[" you are always classy toronto don't change", " you are always lackadaisical toronto you've to change"]
[" you are always classy toronto don't change", ' toronto has never been classy']
[' throw it to first delino maybe you can get him out', ' no need to throw it to first delino because you cant get him out']
[' throw it to first delino maybe you can get him out', " don't throw it to first delino you can't get him out"]
[' and then make a stupid foul ? great game from horford', ' and then make a stupid foul ? worst game from horford']
[' and then make a stupid foul ? great game from horford', ' and then make a stupid foul ? bad game from horford']
[' and then make a stupid foul ? great game from horford', ' horrible game from horford']
[' hard to tell who cbc announcers are cheering for lol', ' easy to tell who cbc announcers are cheering for lol']
[' hard to tell who cbc announcers are cheering for lol', " it's obvious who cbc announcers are cheering for"]
[' hard to tell who cbc announcers are cheering for lol', " it's so clear who cbc announcers are cheering for"]
[' penalty on williams because the refs like the pens best', ' penalty on williams because the refs hate the pens best']
[' penalty on williams because the refs like the pens best', " the refs don't like the pens"]
[' penalty on williams because the refs like the pens best', ' penalty on williams because the refs do not like the pens']
